"Self1Score",Municipality,"ProjectNumber",Project Description,"EstimatedProject Cost",Region,CME,"Federal2Equivalency"
50,"SOLDIERS GROVE, VILLAGE OF",5260-03,Replace WM on Marcus St,"$175,000.00",WC,Jaromin,
50,"WAUZEKA, VILLAGE OF",4932-05,Replace WMs on Dousman Street,"$847,000.00",WC,Jaromin,
50,"HIGHLAND, VILLAGE OF",4818-05,Replace WMs on Isabell and Grand Streets,"$620,000.00",SC,Zettl,
50,"HAZEL GREEN, VILLAGE OF",4817-02,"Replace WMs on Oak, Elm, and Maple Streets","$2,310,000.00",SC,Zettl,
48,"MATTOON, VILLAGE OF",4842-02,Rehab Elevated Storage Tank,"$400,000.00",NE,Hannes,
48,"MAYVILLE, CITY OF",5443-14,Replace Watermains on Grove St,"$319,701.00",SC,Zettl,
48,"MENASHA, CITY OF",4845-25,Replace WM on London/Marquette/6th/Melissa etc,"$2,000,000.00",NE,Hannes,
48,"LAKE GENEVA, CITY OF",5607-04,Replace WMs on Evergreen/Lakewood/Lakeshore,"$825,000.00",SE,Binder,
48,"BOSCOBEL, CITY OF",4771-04,"Replace WMs on WI Ave, Parker St, and Brindley St","$3,200,000.00",SC,Zettl,
47,"STOUGHTON, CITY OF",5403-14,Replace WM - Hwy 51: Harrison to Roby,"$612,000.00",SC,Zettl,
47,"LYNDON STATION, VILLAGE OF",5359-04,Replace WM on CTH HH,"$1,250,000.00",WC,Jaromin,
46,"MAINE, VILLAGE OF",5702-01,Install Programmed Flushing Hydrants,"$2,180,000.00",WC,Jaromin,
46,"ORFORDVILLE, VILLAGE OF",5488-05,Rehab Well #2,"$2,100,000.00",SC,Zettl,
46,"ORFORDVILLE, VILLAGE OF",5488-06,Rehab Well #3,"$1,050,000.00",SC,Zettl,
46,WIOTA SD #1,5442-05,Replace WM from Well 2 to Park; Extend on North Rd,"$360,000.00",SC,Zettl,
46,GLIDDEN SD,5157-10,Replace WM on HWY 13 and Alley,"$1,010,000.00",NO,Andruczyk,
46,"BLUE RIVER, VILLAGE OF",4770-07,"Replace WMs on Jay, Main, and Lake Streets","$857,000.00",SC,Zettl,
45,"MARSHALL, VILLAGE OF",5298-05,Rehab Well #1,"$1,000,000.00",SC,Zettl,
45,"MARSHALL, VILLAGE OF",5298-06,Rehab Well #2,"$1,000,000.00",SC,Zettl,
45,"EDGERTON, CITY OF",4800-14,Rehab West Water Tower,"$300,000.00",SC,Zettl,
45,"RHINELANDER, CITY OF",5288-16,Replace WMs Along Balsam/ Spruce/Birch/Sanns/Hemlock,"$4,014,000.00",NO,Andruczyk,
45,"RACINE, CITY OF",4887-26,"Replace WMs, System-Wide","$10,000,000.00",SE,Binder,Yes
44,"DODGEVILLE, CITY OF",4795-07,Rehab/Upgrade Well #8,"$1,300,000.00",SC,Zettl,
44,"KEWAUNEE, CITY OF",5508-10,Replace WM on Main St,"$1,200,000.00",NE,Hannes,
44,"RICE LAKE, CITY OF",5513-10,Replace WM on Phipps Ave,"$800,000.00",NO,Andruczyk,
44,"COLOMA, VILLAGE OF",4787-05,Replace WMs on Multiple Streets,"$3,000,000.00",NE,Hannes,
44,"VESPER, VILLAGE OF",5549-10,Replacing water transmission on Well Road and STH 186,"$1,361,160.00",WC,Jaromin,
42,"ELK MOUND, VILLAGE OF",5575-03,Construct Looping Main (School Loop),"$795,000.00",WC,Jaromin,
42,"DURAND, CITY OF",4797-03,Rehab Well Treatment System,"$1,142,600.00",WC,Jaromin,
42,"REESEVILLE, VILLAGE OF",4891-08,Replace WM on Dewey/Sharp/Washington,"$1,749,000.00",SC,Zettl,
42,"REWEY, VILLAGE OF",5287-04,Replace WM on First and Welch,"$1,152,000.00",SC,Zettl,
